deso,year,Quartile 1,Quartile 2,Quartile 3,Quartile 4,Median value,Mean value,total
1880C1610,2022,29,25,27,19,275.9,298.3,2896
1880C1620,2022,25,29,31,15,275.0,307.0,2476
1880C1630,2022,73,21,5,1,169.4,180.0,2016
1880C1640,2022,24,36,26,15,273.6,290.6,1314
1880C1650,2022,25,35,28,12,265.5,285.5,1461
1880C1660,2022,9,23,30,37,347.5,410.1,1845
1880C1670,2022,11,30,34,25,308.5,351.1,2006
1880C1680,2022,16,34,29,21,291.6,325.2,1567
1880C1690,2022,8,30,34,28,324.4,372.9,1216
1881A0010,2022,19,32,28,20,288.3,333.1,2174
1881A0020,2022,19,30,30,22,299.2,349.8,1583
1881C1010,2022,34,32,21,13,248.8,283.2,2450
1881C1020,2022,15,34,30,21,294.3,324.9,1794
1881C1030,2022,41,26,21,12,240.1,275.5,2424
1881C1040,2022,37,31,19,12,238.8,270.2,2287
1881C1050,2022,46,26,18,10,225.2,257.4,1815
1881C1060,2022,19,34,26,21,285.3,326.2,2033
1881C1070,2022,26,28,26,20,281.0,315.8,2096
1881C1080,2022,16,34,31,19,293.2,343.8,1206
1881C1090,2022,10,28,37,25,317.4,359.2,2385
1882A0010,2022,24,25,24,28,296.0,351.9,1453
1882A0020,2022,23,29,24,24,286.6,347.4,1563
1882A0030,2022,17,29,29,25,303.0,348.8,1457
1882A0040,2022,25,28,27,21,285.4,313.5,1232
1882B2010,2022,28,33,21,19,261.7,323.5,1453
1882C1010,2022,44,24,19,13,229.7,266.2,1561
1882C1020,2022,28,28,21,24,282.8,332.7,1275
1882C1030,2022,21,27,29,23,296.6,320.5,1401
1883A0030,2022,20,30,26,25,292.7,331.6,2120
1883C1010,2022,13,26,34,26,322.2,352.1,1340
1883C1020,2022,18,31,28,23,294.6,320.9,1738
1883C1030,2022,30,25,25,20,276.6,302.5,1922
1883C1040,2022,38,30,18,13,240.9,264.0,1901
1883C1050,2022,66,17,11,7,173.4,207.0,2143
1883C1060,2022,21,24,27,27,307.1,350.2,1851
1883C1070,2022,16,29,30,25,302.1,383.2,1069
1883C1080,2022,43,26,17,14,234.4,260.7,2127
